
2024/07/10 (23:50:04) | ===> btop++ v.1.3.2
2024/07/10 (23:50:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (11:23:04) | ===> btop++ v.1.3.2
2024/07/11 (11:23:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (11:23:41) | ===> btop++ v.1.3.2
2024/07/11 (11:23:41) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (12:50:08) | ===> btop++ v.1.3.2
2024/07/11 (12:50:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (13:14:14) | ===> btop++ v.1.3.2
2024/07/11 (13:14:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (17:16:22) | ===> btop++ v.1.3.2
2024/07/11 (17:16:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/11 (19:41:02) | ===> btop++ v.1.3.2
2024/07/11 (19:41:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/14 (08:30:57) | ===> btop++ v.1.3.2
2024/07/14 (08:30:57) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (11:39:14) | ===> btop++ v.1.4.0
2024/12/30 (11:39:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (11:39:27) | ===> btop++ v.1.4.0
2024/12/30 (11:39:27) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (11:39:32) | ===> btop++ v.1.4.0
2024/12/30 (11:39:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (11:39:34) | ===> btop++ v.1.4.0
2024/12/30 (11:39:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (11:39:36) | ===> btop++ v.1.4.0
2024/12/30 (11:39:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/30 (21:31:04) | ===> btop++ v.1.4.0
2024/12/30 (21:31:04) | ERROR: Stall in Runner thread, restarting!
2024/12/30 (21:31:12) | ERROR: Stall in Runner thread, restarting!
